stock_name,code,unit,price,category_lvl1,category_lvl2,theme,created_at
主動統一升級50,00981A,1000,10.9,ETF,台灣大盤,核心配置,2026-05-31T07:36:00+08:00
元大台灣50,50,52,94.37,ETF,台灣大盤,核心配置,2026-05-31T07:36:00+08:00
台達電,2308,20,2120,科技,AI基礎建設,AI,2026-05-31T07:36:00+08:00
鴻海,2317,1400,186.25,科技,AI伺服器,AI,2026-05-31T07:36:00+08:00
富邦金,2881,1025,90.05,金融,金控,高股息,2026-05-31T07:36:00+08:00
玉山金,2884,1000,32.7,金融,銀行,高股息,2026-05-31T07:36:00+08:00
元大台灣50,50,6153,42.16,ETF,台灣大盤,核心配置,2026-05-31T07:36:00+08:00
元大高股息,56,2181,30.07,ETF,高股息,高股息,2026-05-31T07:36:00+08:00
富邦台50,6208,3779,98.6,ETF,台灣大盤,核心配置,2026-05-31T07:36:00+08:00
富邦公司治理,692,1984,44.51,ETF,ESG,ESG,2026-05-31T07:36:00+08:00
國泰費城半導體,830,200,79.93,ETF,半導體,AI,2026-05-31T07:36:00+08:00
國泰永續高股息,878,2247,19.19,ETF,高股息,高股息,2026-05-31T07:36:00+08:00
國泰台灣5G+,881,511,38.89,ETF,科技成長,AI,2026-05-31T07:36:00+08:00
富邦元宇宙,903,1000,13.64,ETF,AI科技,AI,2026-05-31T07:36:00+08:00
中信上櫃ESG30,928,1000,12.6,ETF,ESG,ESG,2026-05-31T07:36:00+08:00
台灣水泥,1101,1199,40.8,傳產,水泥,景氣循環,2026-05-31T07:36:00+08:00
台灣積體電,2330,60,519.96,科技,半導體,AI,2026-05-31T07:36:00+08:00
佳世達,2352,1640,69.23,科技,IT設備,科技,2026-05-31T07:36:00+08:00
兆豐金融控,2886,1058,30.74,金融,金控,高股息,2026-05-31T07:36:00+08:00
台新金融,2887,9268,12.24,金融,金控,高股息,2026-05-31T07:36:00+08:00
中信金融,2891,2000,17.3,金融,金控,高股息,2026-05-31T07:36:00+08:00
緯創,3231,1000,106.96,科技,AI伺服器,AI,2026-05-31T07:36:00+08:00
和碩,4938,1000,50,科技,電子代工,科技,2026-05-31T07:36:00+08:00
宏碁資訊服務,6811,2100,245.37,科技,軟體雲端,AI,2026-05-31T07:36:00+08:00
宏碁,2353,3000,39.88,科技,PC品牌,科技,2026-05-31T07:36:00+08:00
